"","GEOID","ALAND10","AWATER10","TotPop","ai","area_mn","cohesion","division","ed","frac_mn","lpi","lsi","mesh","pafrac","para_mn","pd","pladj","shape_mn","split","ta","COUNT","AREA","Name","Date","Year","MeanF","StdDevF","MinF","MaxF","Water","P_Ice","Dev_OpenSpace","Dev_LowIntensity","Dev_MedIntensity","Dev_HighIntensity","BareRock","Dec_Forest","Evgn_Forest","Mix_Forest","Scrub","Grassland","Pasture","Crops","Wood_wetland","Herb_wetland"
"1",110010001001,813493,0,1508,97.6825590518555,0.0695389335827747,99.841145300877,0.622850454942708,0,1.21148946316946,60.5165333281677,34.2776617954071,28.0362109888641,1.23240322656023,1.15947757687943,1438.04333555053,99.953585219471,1.28910374644315,2.65146813274849,74.3371199999862,1344987,484195.32,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,91.1890990990992,5.9694686447783,81.59,108.59,NA,NA,16.4983164983165,25.8698092031425,32.5476992143659,3.53535353535354,0.0561167227833895,17.1156004489338,0.112233445566779,2.6374859708193,0.280583613916947,NA,0.336700336700337,0.336700336700337,0.392817059483726,0.280583613916947
"2",110010001002,199344,0,1376,96.4146985639432,0.0281626949602029,98.9872589281917,0.869038743794288,0,1.18254242320599,34.2672399178099,20.4195032198712,1.39045966011767,1.20622771440956,1.1074869417097,3550.7965463288,99.9113805190268,1.28449993103538,7.63584611947532,10.6173359999965,169302,60948.72,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,95.9540000000001,2.68857583117903,90.59,101.21,NA,NA,12.6293995859213,22.5672877846791,43.6853002070393,16.5631469979296,1.44927536231884,0.20703933747412,NA,NA,NA,NA,NA,2.89855072463768,NA,NA
"3",110010001003,194349,0,1108,94.8438491794009,0.019606120481916,98.212805867452,0.970268999231531,0,1.18889226104401,8.89487423401102,22.8589894242068,0.193525981594026,1.23617014551976,1.28463076744248,5100.44810202185,99.8249560202001,1.32016940363772,33.6349256383104,6.5092319999961,171545,61756.2,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,98.1232812500001,1.76904055501679,92.03,102.65,NA,NA,4.16666666666667,22.3214285714286,61.3095238095238,10.7142857142857,NA,NA,NA,1.48809523809524,NA,NA,NA,NA,NA,NA
"4",110010001004,661619,500891,896,98.0103543898869,0.0493673400000043,99.5249051150115,0.554573760877708,0,1.17656093829949,66.6542698067184,24.270166453265,21.9895085916734,1.19532152289962,1.14809578846208,2025.630710506,99.9693663486921,1.25695877195617,2.24504061990261,49.3673400000043,970405,349345.8,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,88.9673640167365,8.36182245884266,80.8700000000001,108.05,24.7936984246062,NA,3.1132783195799,9.07726931732933,24.4936234058515,20.2550637659415,1.91297824456114,3.15078769692423,NA,3.26331582895724,0.112528132033008,0.0375093773443361,NA,1.12528132033008,7.50187546886722,1.16279069767442
"5",110010002011,542544,0,3922,97.4397923087173,0.0415173386138708,99.0826213917162,0.765640702310441,0,1.17596717431936,47.7134114932108,20.5036018336608,4.91363703134062,1.2090495679711,1.08119828464299,2408.63223266894,99.8706992067055,1.28604312286736,4.2669525376571,20.9662560000048,413111,148719.96,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,98.6660179640719,6.28719593263396,83.5700000000001,113.99,NA,NA,11.8279569892473,22.5806451612903,37.3954599761051,12.4253285543608,2.389486260454,11.1111111111111,NA,1.4336917562724,NA,0.836320191158901,NA,NA,NA,NA
"6",110010002021,189094,0,1242,95.9566807698159,0.024701709969794,98.5154275914518,0.960906247075004,0,1.17365033892722,14.1184007467467,28.2091988130564,0.639281845706238,1.205342001837,1.11923542477976,4048.30273378981,99.8890883729844,1.27411393179013,25.5795344570412,16.3525320000036,135817,48894.12,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,99.8586466165414,2.3494247491689,95.8100000000001,107.33,NA,NA,13.9423076923077,29.4871794871795,41.6666666666667,6.57051282051282,0.16025641025641,8.01282051282051,0.16025641025641,NA,NA,NA,NA,NA,NA,NA
"7",110010002022,135554,0,650,94.7341188645076,0.0191076348547514,98.5539994052126,0.933678004733852,0,1.24719484311041,21.4634718367666,19.7625698324022,0.305408808880571,1.23204281985714,1.2760628608722,5233.51010002861,99.8384771410041,1.31452161765311,15.0779540933144,4.60493999999508,114207,41114.52,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,97.9347826086957,1.72921251116424,95.0900000000001,102.65,NA,NA,2.10084033613445,26.0504201680672,60.0840336134454,11.7647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",110010002023,154482,0,894,94.0801921716382,0.0136072561983639,96.8946614362091,0.98057614535386,0,1.20635440659047,6.43045336773404,18.8413223140496,0.0639618987002133,1.20360700704059,1.06455921103609,7349.02015088273,99.9309687961482,1.28774031380544,51.4830870709139,3.29295600000406,90057,32420.52,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,100.758235294118,2.70702476482371,95.9900000000001,107.33,NA,NA,NA,7.14285714285714,59.3984962406015,31.203007518797,2.25563909774436,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",110010002024,324171,428335,1923,97.0572946256107,0.0356420224719107,99.0292572571366,0.906033481458869,0,1.18125037467174,23.2305793565227,25.6654761904762,2.38459961700055,1.20401214168022,1.07837918472594,2805.67692472585,99.9340096642024,1.27804542574817,10.6420884324056,25.3771200000004,293708,105734.88,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,90.3467462039046,7.93021434130476,81.59,106.97,32.0261437908497,NA,2.87581699346405,8.30065359477124,27.516339869281,18.3660130718954,3.8562091503268,5.7516339869281,0.065359477124183,0.522875816993464,NA,0.457516339869281,NA,NA,0.196078431372549,0.065359477124183
"10",110010003001,250102,0,1270,96.2186352720347,0.0261319500000069,98.5219374487091,0.924903739109674,0,1.18257839884527,24.6067744657402,21.3320964749536,0.784964693909387,1.1924896705068,1.08191539295204,3826.73317528824,99.8731247397804,1.27867807960813,13.3162422222386,10.4527800000028,208161,74937.96,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,98.2881268882176,2.71427295844421,91.8500000000001,103.73,NA,NA,18.1286549707602,31.4327485380117,33.4795321637427,7.89473684210526,0.730994152046784,7.74853801169591,NA,0.292397660818713,NA,NA,0.292397660818713,NA,NA,NA
"11",110010003002,119010,0,1343,95.2148105206115,0.0215943919598195,98.0842123294248,0.96301148525774,0,1.14602625552051,11.3605710025216,17.4848046309696,0.15895015258583,1.21330332647156,1.06131576049876,4630.83193942526,99.8216338340798,1.31990152932986,27.0354191555973,4.29728400000407,102513,36904.68,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,94.3013750000001,2.78437023298621,86.2700000000001,98.6900000000001,NA,NA,8.6734693877551,50,38.7755102040816,NA,NA,2.55102040816327,NA,NA,NA,NA,NA,NA,NA,NA
"12",110010003003,487139,2334,1893,97.9745791299578,0.0633879591241011,99.7912761343095,0.445915907877657,0,1.1450191225558,74.3894532273416,23.218479745107,24.0587479511946,1.21818998887393,1.02222085109857,1577.58668021193,99.9269777528657,1.28511167371842,1.80478020253142,43.4207520000093,788680,283924.8,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,92.1464193548388,4.50504905238631,81.23,101.39,NA,NA,16.0606060606061,30.5050505050505,24.6464646464646,0.505050505050505,0.101010101010101,27.1717171717172,NA,NA,NA,NA,NA,NA,1.01010101010101,NA
"13",110010003004,163765,0,2079,94.6816405608643,0.0168061651376219,97.4361747255254,0.981769152609932,0,1.16255809054249,8.21061733570905,21.7109974424552,0.100189736610461,1.19923495080976,1.04091849857808,5950.19739370181,99.7899225101318,1.28798653562639,54.8520855122054,5.49561600000236,129343,46563.48,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,97.9733333333334,1.67366579976479,92.93,102.47,NA,NA,1.56862745098039,15.6862745098039,80,2.35294117647059,0.392156862745098,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",110010004001,536808,0,553,96.3182323628496,0.0340719466666618,98.9434536666623,0.952260356377861,0,1.16269133949661,15.0207639050856,30.3827392120075,1.09794324918079,1.2218936076927,1.17655182121442,2934.96585265104,99.9174478500876,1.31543551973622,20.946951508793,22.9985639999968,515669,185640.84,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,96.8045343511451,5.01524392328596,88.2500000000001,116.87,NA,NA,16.2162162162162,47.7085781433608,26.2044653349001,2.46768507638073,1.64512338425382,2.23266745005875,NA,1.88014101057579,NA,0.352526439482961,1.29259694477086,NA,NA,NA
"15",110010004002,995907,69,860,97.5043677262542,0.0711347824749955,99.804199673617,0.78910312656391,0,1.15631901019152,41.7889534965138,40.9850327408793,19.5177362847093,1.22904944318674,1.1170422641082,1405.78204530464,99.9606145172814,1.30414265194593,4.74165398332963,92.5463519999691,1424633,512867.88,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,91.5104781533389,4.24831709280461,82.6700000000001,103.73,NA,NA,24.7354497354497,33.7742504409171,18.2980599647266,4.71781305114638,0.529100529100529,15.5202821869489,0.0440917107583774,1.45502645502645,NA,NA,0.485008818342152,NA,0.440917107583774,NA
"16",110010005011,624913,3407,1166,98.1318999394029,0.111221124620089,99.8585390423285,0.701615176141268,0,1.17686963051557,47.6198487363955,27.6125525946704,21.836845756871,1.22463501683868,1.11063742530104,899.109772011224,99.9590210532003,1.31515675327914,3.35137687992283,73.1835000000185,1033383,372017.88,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,89.7812452830189,4.11116141685388,81.7700000000001,101.93,0.065359477124183,NA,17.0588235294118,18.562091503268,28.6274509803922,6.47058823529412,2.48366013071895,21.7647058823529,0.457516339869281,1.96078431372549,0.392156862745098,0.718954248366013,0.588235294117647,0.849673202614379,NA,NA
"17",110010005012,316042,27,2268,97.7181359224527,0.0772865553047736,99.816366835054,0.586843493350018,0,1.16617908659995,63.6115299446719,23.2239876986161,14.1456293379238,1.20857736410766,1.17379950592658,1293.88610484266,99.9200606366036,1.28533355140654,2.42039029739202,34.2379440000147,347510,125103.6,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,94.5559715639811,6.99411563865551,82.6700000000001,108.05,NA,NA,23,29.625,23.875,8.375,0.125,10.375,NA,1.25,NA,NA,0.625,0.875,1.875,NA
"18",110010005021,405439,0,1825,96.9612665732808,0.0545142124863094,99.5856307582326,0.910830348611283,0,1.19465735299698,17.0614108370023,36.6938775510204,4.43810516402194,1.23681738679096,1.17501437781381,1834.38401545494,99.9420780385105,1.3246636389245,11.2145778796499,49.7714760000005,460311,165711.96,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,95.6251908396947,3.25546620209089,86.8100000000001,109.85,NA,NA,16.2790697674419,44.2754919499106,26.9230769230769,6.17173524150268,0.0894454382826476,5.27728085867621,NA,0.983899821109123,NA,NA,NA,NA,NA,NA
"19",110010005022,176065,0,1571,97.5680002319296,0.0608405504586938,99.4531549781171,0.756972253653257,0,1.1910439628811,47.7552091344196,19.0524546065905,4.83500298968224,1.23904921794891,1.03359913674465,1643.64061873327,99.8939783801232,1.35885187364577,4.11475650427682,19.8948599999929,202089,72752.04,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,93.4626229508197,4.36799862887547,83.2100000000001,100.31,NA,NA,18.4873949579832,31.0924369747899,26.4705882352941,2.73109243697479,0.420168067226891,15.7563025210084,NA,5.04201680672269,NA,NA,NA,NA,NA,NA
"20",110010006001,214900,0,1361,97.6443451639724,0.0828953127752986,99.7413475149987,0.622673802429521,0,1.18690774587606,60.4651607706892,18.0069156293223,7.10023610866361,1.24739956301283,1.19384348146985,1206.34082497603,99.8776714962829,1.38063387730323,2.65022679696979,18.8172359999928,363546,130876.56,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,89.4059574468086,4.1266348605376,82.8500000000001,100.31,NA,NA,21.9907407407407,34.9537037037037,21.2962962962963,1.85185185185185,NA,19.9074074074074,NA,NA,NA,NA,NA,NA,NA,NA
"21",110010006002,458495,26,1076,97.4553314686046,0.0722401310043688,99.8269612406456,0.564947473670843,0,1.15811061087284,65.3391799185032,25.3613138686131,14.3941391850764,1.2469775415496,1.15225693081848,1384.2721297661,99.9328742497916,1.31896722535866,2.29857302160201,33.0859800000009,688546,247876.56,"LC08_CU_027009_20180708_20190614_C01_V01","2018-07-08",2018,92.0794055944057,4.42831745055737,83.03,103.55,NA,NA,24.5679012345679,38.2716049382716,16.6666666666667,4.32098765432099,0.493827160493827,9.01234567901234,NA,6.41975308641975,NA,NA,0.246913580246914,NA,NA,NA
